"Pair","PfamH","Pfam","PFamL"
"Brachycentridae_Chloroperlidae",0.0306553911205074,0.00323101777059774,0
"Brachycentridae_Coenagrionidae",0.00528541226215645,0.00323101777059774,0
"Brachycentridae_Cordulegastridae",0.00317124735729387,0.00161550888529887,0
"Brachycentridae_Corixidae",0,0,0
"Brachycentridae_Corydalidae",0.0739957716701903,0.018578352180937,0
"Brachycentridae_Ephemerellidae",0.167019027484144,0.0339256865912763,0
"Brachycentridae_Ephemeridae",0.0126849894291755,0.000807754442649435,0
"Brachycentridae_Glossosomatidae",0.047568710359408,0.00888529886914378,0
"Brachycentridae_Gomphidae",0.0792811839323467,0.0105008077544426,0
"Brachycentridae_Haliplidae",0,0,0
"Brachycentridae_Helicopsychidae",0.0179704016913319,0.00323101777059774,0
"Brachycentridae_Heptageniidae",0.173361522198731,0.0298869143780291,0
"Brachycentridae_Hirudinea",0.00317124735729387,0.000807754442649435,0
"Brachycentridae_Hydroptilidae",0.0348837209302326,0.00807754442649435,0
"Brachycentridae_Isonychiidae",0.137420718816068,0.0250403877221325,0
"Brachycentridae_Lepidostomatidae",0.040169133192389,0.00484652665589661,0
"Brachycentridae_Leptohyphidae",0.0454545454545455,0.00807754442649435,0
"Brachycentridae_Leptophlebiidae",0.0676532769556025,0.00726978998384491,0
"Brachycentridae_Leuctridae",0.0422832980972516,0.00888529886914378,0
"Brachycentridae_Lymnaeidae",0.00317124735729387,0,0
"Brachycentridae_Nemouridae",0.00422832980972516,0.00161550888529887,0
"Brachycentridae_Odontoceridae",0.0221987315010571,0.00403877221324717,0
"Brachycentridae_Pelecypoda",0.0274841437632135,0.00726978998384491,0
"Brachycentridae_Peltoperlidae",0.0137420718816068,0.000807754442649435,0
"Brachycentridae_Perlidae",0.174418604651163,0.037156704361874,0
"Brachycentridae_Perlodidae",0.0317124735729387,0.000807754442649435,0
"Brachycentridae_Philopotamidae",0.169133192389006,0.0436187399030695,0
"Brachycentridae_Physidae",0.00528541226215645,0.00484652665589661,0
"Brachycentridae_Polycentropodidae",0.0285412262156448,0.00323101777059774,0
"Brachycentridae_Polymitarcyidae",0.00634249471458774,0.00161550888529887,0
"Brachycentridae_Potamanthidae",0.00739957716701903,0.000807754442649435,0
"Brachycentridae_Psephenidae",0.087737843551797,0.0266558966074313,0.0025
"Brachycentridae_Pteronarcidae",0.0211416490486258,0.00403877221324717,0
"Brachycentridae_Rhyacophilidae",0.0856236786469345,0.0161550888529887,0
"Brachycentridae_Sialidae",0.0126849894291755,0.000807754442649435,0
"Brachycentridae_Simuliidae",0.0845665961945032,0.0266558966074313,0.0025
"Brachycentridae_Tabanidae",0.00317124735729387,0.000807754442649435,0
"Brachycentridae_Turbellaria",0.0295983086680761,0.00726978998384491,0
"Brachycentridae_Uenoidae",0.0116279069767442,0.00161550888529887,0
"Caenidae_Calopterygidae",0.00105708245243129,0.0105008077544426,0
"Caenidae_Capniidae",0.00317124735729387,0,0
"Caenidae_Chironomus",0.00105708245243129,0.00726978998384491,0.015
"Caenidae_Chloroperlidae",0.00951374207188161,0.000807754442649435,0
"Caenidae_Coenagrionidae",0.00845665961945032,0.0161550888529887,0.02
"Caenidae_Cordulegastridae",0.00105708245243129,0.000807754442649435,0
"Caenidae_Corixidae",0,0.00323101777059774,0.0025
"Caenidae_Corydalidae",0.072938689217759,0.0250403877221325,0
"Caenidae_Ephemerellidae",0.127906976744186,0.0298869143780291,0
"Caenidae_Ephemeridae",0.0200845665961945,0.0105008077544426,0
"Caenidae_Glossosomatidae",0.0295983086680761,0.00484652665589661,0
"Caenidae_Gomphidae",0.0676532769556025,0.0266558966074313,0.0025
"Caenidae_Haliplidae",0,0,0.005
"Caenidae_Helicopsychidae",0.03276955602537,0.0113085621970921,0
"Caenidae_Heptageniidae",0.223044397463002,0.0969305331179321,0.01
"Caenidae_Hirudinea",0.00739957716701903,0.00484652665589661,0.02
"Caenidae_Hydroptilidae",0.0443974630021142,0.031502423263328,0.01
"Caenidae_Isonychiidae",0.200845665961945,0.0710823909531502,0
"Caenidae_Lepidostomatidae",0.0137420718816068,0.000807754442649435,0
"Caenidae_Leptohyphidae",0.0517970401691332,0.0266558966074313,0
"Caenidae_Leptophlebiidae",0.0687103594080338,0.0137318255250404,0
"Caenidae_Leuctridae",0.0454545454545455,0.012924071082391,0.0025
"Caenidae_Lymnaeidae",0.00422832980972516,0.00323101777059774,0.0075
"Caenidae_Nemouridae",0,0,0
"Caenidae_Odontoceridae",0.0306553911205074,0.00403877221324717,0
"Caenidae_Pelecypoda",0.0274841437632135,0.0218093699515347,0.01
"Caenidae_Peltoperlidae",0.00317124735729387,0,0
"Caenidae_Perlidae",0.182875264270613,0.055735056542811,0
"Caenidae_Perlodidae",0.00634249471458774,0.00161550888529887,0
"Caenidae_Philopotamidae",0.198731501057082,0.074313408723748,0.0075
"Caenidae_Physidae",0.0137420718816068,0.00969305331179321,0.01
"Caenidae_Polycentropodidae",0.0243128964059197,0.00726978998384491,0.0025
"Caenidae_Polymitarcyidae",0.0137420718816068,0.0024232633279483,0
"Caenidae_Potamanthidae",0.0116279069767442,0.00323101777059774,0
"Caenidae_Psephenidae",0.189217758985201,0.0961227786752827,0.0025
"Caenidae_Pteronarcidae",0.00634249471458774,0,0
"Caenidae_Rhyacophilidae",0.0380549682875264,0.00646203554119548,0
"Caenidae_Sialidae",0.0158562367864693,0.0137318255250404,0.005
"Caenidae_Simuliidae",0.0824524312896406,0.0331179321486268,0.0025
"Caenidae_Tabanidae",0.0116279069767442,0.00646203554119548,0.0025
"Caenidae_Turbellaria",0.0369978858350951,0.0339256865912763,0.02
"Caenidae_Uenoidae",0.00951374207188161,0,0
"Calopterygidae_Capniidae",0,0.000807754442649435,0
"Calopterygidae_Chironomus",0,0.000807754442649435,0
"Calopterygidae_Chloroperlidae",0.00317124735729387,0,0.0025
"Calopterygidae_Coenagrionidae",0.00105708245243129,0.00403877221324717,0.0025
"Calopterygidae_Cordulegastridae",0,0.00161550888529887,0.0025
"Calopterygidae_Corixidae",0,0.00403877221324717,0
"Calopterygidae_Corydalidae",0.00422832980972516,0.0169628432956381,0.0125
"Calopterygidae_Ephemerellidae",0.00211416490486258,0.00323101777059774,0.0025
"Calopterygidae_Ephemeridae",0.00105708245243129,0,0
"Calopterygidae_Glossosomatidae",0.00211416490486258,0.000807754442649435,0
"Calopterygidae_Gomphidae",0,0.00969305331179321,0.0025
"Calopterygidae_Haliplidae",0,0.000807754442649435,0
"Calopterygidae_Helicopsychidae",0.00105708245243129,0.00161550888529887,0
"Calopterygidae_Heptageniidae",0.00528541226215645,0.0177705977382876,0.0025
"Calopterygidae_Hirudinea",0,0.00161550888529887,0.01
"Calopterygidae_Hydroptilidae",0.00317124735729387,0.00403877221324717,0.0025
"Calopterygidae_Isonychiidae",0.00317124735729387,0.00646203554119548,0.0025
"Calopterygidae_Lepidostomatidae",0,0.000807754442649435,0
"Calopterygidae_Leptohyphidae",0.00211416490486258,0.0024232633279483,0
"Calopterygidae_Leptophlebiidae",0.00105708245243129,0.00807754442649435,0.0025
"Calopterygidae_Leuctridae",0.00317124735729387,0.00484652665589661,0
"Calopterygidae_Lymnaeidae",0.00105708245243129,0.00161550888529887,0.0025
"Calopterygidae_Nemouridae",0,0,0
"Calopterygidae_Odontoceridae",0,0.000807754442649435,0
"Calopterygidae_Pelecypoda",0,0.00484652665589661,0.0125
"Calopterygidae_Peltoperlidae",0,0.000807754442649435,0
"Calopterygidae_Perlidae",0.00528541226215645,0.0113085621970921,0.005
"Calopterygidae_Perlodidae",0,0,0
"Calopterygidae_Philopotamidae",0.00951374207188161,0.0201938610662359,0.0125
"Calopterygidae_Physidae",0.00105708245243129,0.00565428109854604,0.0075
"Calopterygidae_Polycentropodidae",0,0.00484652665589661,0.0025
"Calopterygidae_Polymitarcyidae",0,0,0
"Calopterygidae_Potamanthidae",0,0,0
"Calopterygidae_Psephenidae",0.00739957716701903,0.018578352180937,0.0075
"Calopterygidae_Pteronarcidae",0,0,0
"Calopterygidae_Rhyacophilidae",0.00211416490486258,0.00403877221324717,0
"Calopterygidae_Sialidae",0.00211416490486258,0.00403877221324717,0
"Calopterygidae_Simuliidae",0.00634249471458774,0.0121163166397415,0.02
"Calopterygidae_Tabanidae",0.00105708245243129,0.00565428109854604,0.015
"Calopterygidae_Turbellaria",0.00105708245243129,0.00888529886914378,0.02
"Calopterygidae_Uenoidae",0,0,0
"Capniidae_Chironomus",0,0.000807754442649435,0
"Capniidae_Chloroperlidae",0.00211416490486258,0.0024232633279483,0
"Capniidae_Coenagrionidae",0,0,0
"Capniidae_Cordulegastridae",0,0.00161550888529887,0
"Capniidae_Corixidae",0,0,0
"Capniidae_Corydalidae",0.00739957716701903,0.00403877221324717,0
"Capniidae_Ephemerellidae",0.0116279069767442,0.00484652665589661,0
"Capniidae_Ephemeridae",0.00317124735729387,0,0
"Capniidae_Glossosomatidae",0.00739957716701903,0.000807754442649435,0
"Capniidae_Gomphidae",0.00845665961945032,0.0024232633279483,0
"Capniidae_Haliplidae",0,0,0
"Capniidae_Helicopsychidae",0,0,0
"Capniidae_Heptageniidae",0.0179704016913319,0.00646203554119548,0
"Capniidae_Hirudinea",0.00211416490486258,0,0
"Capniidae_Hydroptilidae",0.00211416490486258,0.00161550888529887,0
"Capniidae_Isonychiidae",0.00845665961945032,0.000807754442649435,0
"Capniidae_Lepidostomatidae",0.00317124735729387,0.000807754442649435,0
"Capniidae_Leptohyphidae",0.00317124735729387,0,0
"Capniidae_Leptophlebiidae",0.00951374207188161,0.00161550888529887,0
"Capniidae_Leuctridae",0.00739957716701903,0.00726978998384491,0
"Capniidae_Lymnaeidae",0,0.000807754442649435,0
"Capniidae_Nemouridae",0.00105708245243129,0,0
"Capniidae_Odontoceridae",0.00211416490486258,0.000807754442649435,0
"Capniidae_Pelecypoda",0,0,0
"Capniidae_Peltoperlidae",0.00211416490486258,0.000807754442649435,0
"Capniidae_Perlidae",0.0179704016913319,0.00484652665589661,0
"Capniidae_Perlodidae",0.00528541226215645,0.00161550888529887,0
"Capniidae_Philopotamidae",0.0200845665961945,0.00484652665589661,0
"Capniidae_Physidae",0.00105708245243129,0.000807754442649435,0
"Capniidae_Polycentropodidae",0.00528541226215645,0.00403877221324717,0
"Capniidae_Polymitarcyidae",0,0,0
"Capniidae_Potamanthidae",0,0,0
"Capniidae_Psephenidae",0.0137420718816068,0.00565428109854604,0
"Capniidae_Pteronarcidae",0.00528541226215645,0.000807754442649435,0
"Capniidae_Rhyacophilidae",0.00951374207188161,0.00484652665589661,0
"Capniidae_Sialidae",0,0.000807754442649435,0
"Capniidae_Simuliidae",0.00634249471458774,0.00565428109854604,0
"Capniidae_Tabanidae",0.00105708245243129,0.000807754442649435,0
"Capniidae_Turbellaria",0.00211416490486258,0.00161550888529887,0
"Capniidae_Uenoidae",0.00105708245243129,0,0
"Chironomus_Chloroperlidae",0,0.00323101777059774,0
"Chironomus_Coenagrionidae",0,0.00403877221324717,0.0175
"Chironomus_Cordulegastridae",0,0,0.0075
"Chironomus_Corixidae",0,0.000807754442649435,0.0075
"Chironomus_Corydalidae",0.00105708245243129,0.00403877221324717,0.0025
"Chironomus_Ephemerellidae",0,0.00323101777059774,0
"Chironomus_Ephemeridae",0,0.00161550888529887,0
"Chironomus_Glossosomatidae",0.00105708245243129,0,0
