"sample_id","coll_date","bap","impact","1.High","2.Slight","3.Low"
"7-ONEI-15.5",1986-09-03,6.61,"2.Slight",0.184431122952583,0.613193938634207,0.202374938413209
"7-ONEI-17.8",1986-09-03,5.5,"2.Slight",0.300975001943328,0.653882049586259,0.0451429484704128
"7-ONEI-2.2",1986-09-03,5.93,"2.Slight",0.0561224290862704,0.22662996132774,0.71724760958599
"7-ONEI-4.2",1986-09-03,5.85,"2.Slight",0.119735104449083,0.617870499706405,0.262394395844512
"7-ONEI-8.6",2016-07-14,4.56,"3.Low",5.45752346855356e-07,0.000370549522227613,0.999628904725426
"7-ONID-0.7",2016-09-15,4.74,"3.Low",0.411312300827614,0.453994865231986,0.134692833940399
"7-ONID_T3-1.4",2016-07-13,3.33,"3.Low",0.236062207699303,0.591193164027379,0.172744628273318
"7-ONON-1",2016-07-13,4.41,"3.Low",0.000103591137336277,0.0180633702397215,0.981833038622942
"7-ONON-18.2",2006-07-27,4.66,"3.Low",0.598799988877872,0.383584189453839,0.0176158216682885
"7-ONON_W-2.1",2016-07-13,3.52,"3.Low",0.0555106059505064,0.298439309565174,0.64605008448432
"7-OSWE-19.4",2016-09-15,5.66,"2.Slight",0.0511388846636327,0.111012514533146,0.837848600803221
"7-OSWE-5.2",2016-09-15,3.64,"3.Low",0.403114771790794,0.33855779040226,0.258327437806945
"7-OWAS-11",2002-07-17,5.24,"2.Slight",0.118083682646866,0.545786136623175,0.336130180729959
"7-OWAS-12.4",2002-07-17,5.68,"2.Slight",0.0111767931738619,0.302289038606186,0.686534168219952
"7-OWAS-2.5",2002-08-21,5.07,"2.Slight",0.260563484390899,0.542121049418932,0.197315466190169
"7-OWAS-4",2016-07-12,5.81,"2.Slight",0.917821565935321,0.0820882117475192,9.0222317159983e-05
"7-OWAS-5.8",2002-07-17,5.73,"2.Slight",0.322323357389145,0.604656124765957,0.0730205178448976
"7-OWAS-8.6",2011-09-21,5.72,"2.Slight",0.127331947945848,0.607365946446418,0.265302105607735
"7-OWAS-9.7",2002-07-17,5.19,"2.Slight",0.204524079955119,0.421569354396489,0.373906565648392
"7-OWLI-12.4",2006-07-06,5.22,"2.Slight",0.0710810312309145,0.257619686013595,0.67129928275549
"7-OWLI-13.8",2007-07-17,4.56,"3.Low",0.000330413739930762,0.023980473485251,0.975689112774818
"7-OWLI-15",2006-07-06,6.86,"2.Slight",0.681126315457757,0.316054387177797,0.00281929736444613
"7-OWLI-3",2007-08-30,5.86,"2.Slight",0.855138550318901,0.144744879192199,0.000116570488899337
"7-OWLI-5.3",2006-07-06,4.49,"3.Low",0.202837169549363,0.566933671995863,0.230229158454773
"7-OWLI-7.1",2006-07-06,5.07,"2.Slight",0.466704971852121,0.525392885336892,0.0079021428109861
"7-OWLI-9.9",2006-07-06,5.1,"2.Slight",0.436781659066247,0.546761647207016,0.0164566937267371
"7-OWLI_T20-3.7",2011-09-01,8.16,"1.High",0.99803111567695,0.00196888432305036,0
"7-OXCR-7.6",2011-09-21,1.56,"3.Low",0.0427624913677364,0.204285231298586,0.752952277333677
"7-PAIN-1.4",2006-07-26,5.6,"2.Slight",0.487917942857331,0.416107608455994,0.0959744486866754
"7-POOL-3.1",1996-07-16,3.16,"3.Low",0.0054169897278155,0.0937901671628697,0.900792843109315
"7-PTRK-0.6",2006-07-25,8.02,"1.High",0.964994535831965,0.0350046702427015,7.93925333847473e-07
"7-PUTN-1.1",2001-09-12,6.33,"2.Slight",0.241377468613819,0.75360717102376,0.00501536036242124
"7-PUTN_T36-9.7",2011-09-21,2.87,"3.Low",0.382221767505634,0.38332498102415,0.234453251470216
"7-RATG-0.7",2011-09-02,6.21,"2.Slight",0.740183291405929,0.256907902449791,0.00290880614427988
"7-RCKY-0.3",2011-08-31,5.93,"2.Slight",0.339960722491499,0.621730855721111,0.0383084217873897
"7-RDCK-0.1",2006-07-26,6.12,"2.Slight",0.369862007907798,0.472313026516136,0.157824965576065
"7-REDC-3.8",2006-07-26,4.87,"3.Low",0.0353699136879285,0.498899191536065,0.465730894776006
"7-REED-0.1",2016-07-12,3.57,"3.Low",0.00797061811457713,0.109749333963913,0.88228004792151
"7-REED-2.3",2016-07-12,5.07,"2.Slight",0.319468986523078,0.585074382404829,0.0954566310720937
"7-ROCK-1.1",2008-07-21,7.3,"2.Slight",0.99818162241968,0.00181837750499838,7.53215943783199e-11
"7-SAWM-0.6",2016-07-13,4.3,"3.Low",0.0190131556657913,0.302268521671706,0.678718322662503
"7-SCKR-1.8",2001-09-11,6.12,"2.Slight",0,0.699819129743668,0.300180870256332
"7-SCON-0.9",2016-07-13,5.41,"2.Slight",0.123034640698588,0.647933269009029,0.229032090292383
"7-SCON-1.8",2007-09-05,5.25,"2.Slight",0.760112507071439,0.239303859225114,0.000583633703446366
"7-SCON-10.9",2007-09-05,5.87,"2.Slight",0.614061069241246,0.33742858730015,0.0485103434586042
"7-SCON-3.6",2007-09-05,4.91,"3.Low",0.578744196961864,0.411201290764012,0.010054512274124
"7-SCON-5.3",2007-09-05,4.63,"3.Low",0.567412432362958,0.406181533071252,0.0264060345657894
"7-SCON-7.4",2007-09-05,6.08,"2.Slight",0.873238003202368,0.126253575828756,0.000508420968875862
"7-SCRB-0.8",2016-07-12,7.59,"1.High",0.865608570727634,0.134379037323276,1.23919490905754e-05
"7-SENP_T33-0.7",2011-09-20,6.76,"2.Slight",0.953152740374768,0.0468451420934599,2.11753177224676e-06
"7-SEOS-13.8",2011-07-21,6.63,"2.Slight",0.00449780675232926,0.0902854904337002,0.90521670281397
"7-SEOS-22.4",2016-09-15,1.26,"3.Low",0.224962428229204,0.296534769308073,0.478502802462723
"7-SEOS-38",2016-09-14,0.06,"3.Low",0.0186158966934945,0.100525749306488,0.880858354000018
"7-SEOS-53",2016-09-14,6.84,"2.Slight",0.245241855514563,0.227835755323699,0.526922389161738
"7-SEOS-6.5",2011-09-29,4.62,"3.Low",3.23745445322478e-05,0.00280813985468568,0.997159485600782
"7-SEOS-9.5",2011-08-23,6.9,"2.Slight",0.0749834075333965,0.303528411322061,0.621488181144542
"7-SEOS_T37-0.2",2011-08-31,2.95,"3.Low",0.00132843732261809,0.0555644487014731,0.943107113975909
"7-SGAR-2.5",2006-07-25,6.88,"2.Slight",0.913808950476461,0.0861848519115883,6.19761195032515e-06
"7-SHLD-1.3",2006-07-26,6.11,"2.Slight",0.814461846320381,0.184965297260311,0.0005728564193079
"7-SILR-2",2006-07-25,4.02,"3.Low",0.063439009096086,0.351046245371255,0.585514745532659
"7-SIXC-5.1",2006-07-26,2.17,"3.Low",7.27536107151094e-06,0.00239500453711934,0.997597720101809
"7-SKAN-10.4",1992-09-09,5.31,"2.Slight",0.555688897752584,0.413491763565099,0.030819338682317
"7-SKAN-13.5",2008-08-04,3.8,"3.Low",0.211544048196654,0.507874758787949,0.280581193015397
"7-SKAN-2.2",2016-07-13,5.72,"2.Slight",0.241065555857026,0.710334498825775,0.0485999453171989
"7-SKAN-6.7",1988-07-21,5.98,"2.Slight",0.113504909137048,0.68373029467156,0.202764796191392
"7-SKAN-9",1988-09-09,5.79,"2.Slight",0.220984832116094,0.641529420634557,0.137485747249349
"7-SKAN-9.2",1988-09-09,5.4,"2.Slight",0.513912388918137,0.45490268595563,0.0311849251262329
"7-SKAT_T14-0.2",2016-07-13,6.61,"2.Slight",0.804129372908012,0.189049622982138,0.00682100410985002
"7-SMIL-0.2",2006-07-25,6.5,"2.Slight",0.864287920489647,0.135371217128632,0.000340862381721155
"7-SMIL_T3-0.9",2011-09-01,8.15,"1.High",0.98030075183586,0.0196991592431069,8.89210326086099e-08
